Copybook;Categoria;Qtd Fontes;Fontes que referenciam
PDD06085;2-DADOS/BANCO (WSD/PDD);1;OGAA920D
PDD06098;2-DADOS/BANCO (WSD/PDD);1;OGAA920D
PDD07002;2-DADOS/BANCO (WSD/PDD);1;OGAA013D
PDD07004;2-DADOS/BANCO (WSD/PDD);1;OGAA013D
PDD12015;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
PDD14003;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
PDD14004;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
PDD14006;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
PDD14008;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
PDD14013;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
PDTAB046;5-TABELAS;1;FGAA050D
SPLC01;9-OUTROS;1;OGAA615D
WSBLQ008;3-BLOQUEIO;1;FGAA115D
WSBLQ011;3-BLOQUEIO;1;OGAA640D
WSD01008;2-DADOS/BANCO (WSD/PDD);1;OGAA018D
WSD01009;2-DADOS/BANCO (WSD/PDD);1;OGAA018D
WSD01022;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
WSD01024;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
WSD01032;2-DADOS/BANCO (WSD/PDD);1;OGEV005D
WSD01041;2-DADOS/BANCO (WSD/PDD);1;OGAA018D
WSD01072;2-DADOS/BANCO (WSD/PDD);1;OGAA615D
WSD01076;2-DADOS/BANCO (WSD/PDD);1;OGAA018D
WSD01099;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
WSD01103;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
WSD01112;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
WSD01116;2-DADOS/BANCO (WSD/PDD);1;OGAA018D
WSD01117;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
WSD01136;2-DADOS/BANCO (WSD/PDD);1;OGAA018D
WSD01137;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
WSD01150;2-DADOS/BANCO (WSD/PDD);1;OGAA018D
WSD06004;2-DADOS/BANCO (WSD/PDD);1;OGAA920D
WSD06085;2-DADOS/BANCO (WSD/PDD);1;OGAA920D
WSD06098;2-DADOS/BANCO (WSD/PDD);1;OGAA920D
WSD07002;2-DADOS/BANCO (WSD/PDD);1;OGAA013D
WSD07004;2-DADOS/BANCO (WSD/PDD);1;OGAA013D
WSD12015;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
WSD14003;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
WSD14004;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
WSD14006;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
WSD14008;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
WSD14013;2-DADOS/BANCO (WSD/PDD);1;OGAA640D
WSTAB046;5-TABELAS;1;FGAA050D
